idProfesor,NIF,nombre,apellido1,apellido2,email,direccion,categoria
PR001,34417139B,Juan,Infante,Fraidias,juan.infante.fraidias@ucm.com,"Calle de los Almendros , 86",Asociados
PR002,52479077P,David,Serna,Balmori,david.serna.balmori@ucm.com,"Calle Abarejo , 44",Titulares Universidad
PR003,84277383X,Josefa,Pedraza,Travez,josefa.pedraza.travez@ucm.com,"Calle Abogados de Atocha , 145",Contratados Doctores
PR004,72702217A,Jose Antonio,Belda,Leno,jose.antonio.belda.leno@ucm.com,"Calle de Ayamonte , 186",Titulares Universidad
PR005,75239553F,Jose Luis,Barragan,Usategui,jose.luis.barragan.usategui@ucm.com,"Travesia del Almendro , 97",Catedráticos de Escuela Universitaria
PR006,81953461Y,Francisco Javier,Reig,Amills,francisco.javier.reig.amills@ucm.com,"Calle de la Albericia , 134",Contratados Doctores Interinos
PR007,18598553N,Ana Maria,De Diego,Bocigas,ana.maria.de.diego.bocigas@ucm.com,"Avenida de los Andes , 188",PDI predoctoral
PR008,72252271H,Carlos,Fuertes,Carulla,carlos.fuertes.carulla@ucm.com,"Calle Águeda , 26",Catedráticos de Escuela Universitaria
PR009,70631063C,Daniel,Aguado,Pastrana,daniel.aguado.pastrana@ucm.com,"Calle de Antoñita Jiménez , 122",Catedráticos de Universidad
PR010,15794042W,Maria Dolores,Espino,Zamudio,maria.dolores.espino.zamudio@ucm.com,"Calle del Arroyo de la Elipa , 189",Titulares Universidad
PR011,86245635W,Maria Pilar,Valderrama,Urquiaga,maria.pilar.valderrama.urquiaga@ucm.com,"Calle Alisios , 150",Catedráticos de Escuela Universitaria
PR012,83153833C,Miguel,Fuentes,Andreu,miguel.fuentes.andreu@ucm.com,"Calle de la Alcoholera , 12",Contratados Doctores Interinos
PR013,55710808P,Maria Teresa,Pico,Zoyo,maria.teresa.pico.zoyo@ucm.com,"Calle de Arenas de Iguña , 17",Ayudantes Doctores
PR014,52041463T,Ana,Andujar,Popovici,ana.andujar.popovici@ucm.com,"Calle de las Aguas , 61",Otros Investigadores Doctores
PR015,81703794T,Rafael,Murcia,Petrov,rafael.murcia.petrov@ucm.com,"Calle Almendro , 53",PDI predoctoral
PR016,36742399V,Jose Manuel,Antolin,Diranzo,jose.manuel.antolin.diranzo@ucm.com,"Calle Azabache , 190",Catedráticos de Universidad
PR017,33150418J,Pedro,Calderon,Domenech,pedro.calderon.domenech@ucm.com,"Carretera de Alpedrete , 104",Contratados Doctores
PR018,82285639Q,Laura,Bueno,Sobreira,laura.bueno.sobreira@ucm.com,"Calle de los Árboles , 198",Catedráticos de Escuela Universitaria
PR019,37497894I,Francisca,Smith,Mafla,francisca.smith.mafla@ucm.com,"Calle del Arco , 149",Otros Investigadores Doctores
PR020,34744580Y,Antonia,Vara,Esarte,antonia.vara.esarte@ucm.com,"Calle de Alba de Tormes , 123",Contratados Doctores
PR021,25542059S,Alejandro,Piã‘A,Ivars,alejandro.piã‘a.ivars@ucm.com,"Calle Alfonso X El Sabio , 199",Catedráticos de Escuela Universitaria
PR022,71976482V,Dolores,Amoros,Cases,dolores.amoros.cases@ucm.com,"Calle de las Acacias , 109",Catedráticos de Universidad
PR023,76471428I,Antonio,Quero,Atienza,antonio.quero.atienza@ucm.com,"Vereda de las Arboledas , 89",Catedráticos de Universidad
PR024,57354131X,Jose,Valera,Bardal,jose.valera.bardal@ucm.com,"Calle de la Alegría , 82",Titulares Universidad
PR025,21841380T,Maria Carmen,Palacios,Cholvi,maria.carmen.palacios.cholvi@ucm.com,"Calle Apolo , 32",Otros Investigadores Doctores
